Archivo,Tamano (MB)
BIOGRID-ORCS-SCREEN_1083-1.1.16.screen.csv,2.256100654602051
BIOGRID-ORCS-SCREEN_1480-1.1.16.screen.csv,2.2477760314941406
BIOGRID-ORCS-SCREEN_2117-1.1.16.screen.csv,2.2473106384277344
BIOGRID-ORCS-SCREEN_1479-1.1.16.screen.csv,2.246776580810547
BIOGRID-ORCS-SCREEN_2113-1.1.16.screen.csv,2.24405574798584
BIOGRID-ORCS-SCREEN_2118-1.1.16.screen.csv,2.242791175842285
BIOGRID-ORCS-SCREEN_2122-1.1.16.screen.csv,2.2420358657836914
BIOGRID-ORCS-SCREEN_1081-1.1.16.screen.csv,2.2417221069335938
BIOGRID-ORCS-SCREEN_2120-1.1.16.screen.csv,2.2402753829956055
BIOGRID-ORCS-SCREEN_1107-1.1.16.screen.csv,2.234562873840332
BIOGRID-ORCS-SCREEN_1244-1.1.16.screen.csv,2.234067916870117
BIOGRID-ORCS-SCREEN_1247-1.1.16.screen.csv,2.2339582443237305
BIOGRID-ORCS-SCREEN_1245-1.1.16.screen.csv,2.233954429626465
BIOGRID-ORCS-SCREEN_1246-1.1.16.screen.csv,2.231822967529297
BIOGRID-ORCS-SCREEN_1240-1.1.16.screen.csv,2.230923652648926
BIOGRID-ORCS-SCREEN_1238-1.1.16.screen.csv,2.2299375534057617
BIOGRID-ORCS-SCREEN_1243-1.1.16.screen.csv,2.2289304733276367
BIOGRID-ORCS-SCREEN_1749-1.1.16.screen.csv,2.2277345657348633
BIOGRID-ORCS-SCREEN_1818-1.1.16.screen.csv,2.2273130416870117
BIOGRID-ORCS-SCREEN_1239-1.1.16.screen.csv,2.225968360900879
BIOGRID-ORCS-SCREEN_1241-1.1.16.screen.csv,2.2245445251464844
BIOGRID-ORCS-SCREEN_1242-1.1.16.screen.csv,2.2238941192626953
BIOGRID-ORCS-SCREEN_1248-1.1.16.screen.csv,2.2193222045898438
BIOGRID-ORCS-SCREEN_1816-1.1.16.screen.csv,2.2166147232055664
